CODGEO,code_departement,P22_POP,P16_POP,P22_MEN,MED_SL23,PR_MD60_23,P22_CHOM1564,P22_ACT1564,P22_EMPLT,ETTOT24
44094,44,3393,3208,1313.759466,29420,,107.675806,1720.089944,481.437876,58
44095,44,1587,1512,654.572328,23920,,62.260526,792.831073,192.92611,28
44096,44,4681,4686,1903,26450,,120,2381,1018.279561,113
44097,44,2156,1938,1084.328987,28570,,118.4487,757.219207,384.848995,75
44098,44,5619,5271,2303.640441,26010,,152.532998,2680.646134,1089.166129,119
44099,44,1964,1960,821.937798,24330,,95.737794,859.720218,511.885822,63
44100,44,2341,2179,939.607185,27170,,76.884565,1239.623539,285.850678,46
44101,44,6523,6215,2757.173727,27090,10,291.678834,3169.632251,3277.741744,157
44102,44,3346,3097,1321.987805,26650,,67.736174,1736.327489,686.42624,98
44103,44,7289,7079,3154,25290,11,289,3441,10968.593476,325
44104,44,843,859,341.685472,25360,,26.00715,428.502397,84.028375,13
44105,44,356,384,155.023491,22530,,20.761511,180.056051,49.001499,11
44106,44,1846,1576,910.568948,27460,,70.10352,676.59116,201.557816,50
44107,44,2004,1874,761,26250,,75,1110,230.451046,40
44108,44,2903,2810,1169.230115,27450,,96.546183,1541.180907,704.564816,84
44109,44,325070,306694,172690.222511,26720,19.1,22425.009878,168362.743584,213420.039399,11718
44110,44,9448,8651,3850.942552,26520,8,277.226366,4660.782003,3044.979526,288
44111,44,2335,2144,896,26520,,76,1200,218.457676,33
44112,44,579,592,223.281746,24010,,22.712482,298.540079,79.285361,9
44113,44,4280,4130,1836.255145,25220,,181.11334,2014.426238,2004.643644,167
44114,44,28341,25931,12398.779096,30410,11.3,1161.548096,13105.138546,13164.142904,963
44115,44,3915,3763,1589.937169,28380,,114.669525,1937.046453,525.129268,75
44116,44,3030,3144,1472.376711,23620,,159.890422,1328.86225,1059.226064,52
44117,44,3374,3236,1375.253807,27870,,80.989278,1801.26648,761.465627,102
44118,44,1454,1342,539.960674,24420,,50.621271,723.654245,201.520708,27
44119,44,2042,1978,809,25020,,69,993,282.85677,47
44120,44,5335,5050,2262.625237,26610,,222.561872,2617.627207,1045.934921,110
44121,44,437,429,182.757712,23210,,24.443875,203.936481,67.955499,13
44122,44,3865,3605,1481.129224,27740,,114.947974,2035.379921,463.957854,71
44123,44,1011,983,450,24300,,37,489,127.68343,26
44124,44,829,770,326.477034,24490,,33.403248,382.645068,121.88021,22
44125,44,2663,2261,1359,29320,,106,837,548.971705,110
44126,44,4617,4164,2229.223056,27060,,170.354372,1822.277978,838.810486,127
44127,44,2802,2610,1094.246841,25440,,58.446052,1423.924485,615.299414,77
44128,44,5281,5241,2217.903398,24720,12,269.423561,2460.570238,959.507853,146
44129,44,11249,10666,4812.484216,26570,8,450.449971,5325.166757,4923.609322,358
44130,44,6942,5877,2789.6215,29240,,173.333934,3544.674596,1888.923358,202
44131,44,18382,14703,9238.434316,29470,7,701.094187,7312.034041,8074.56105,871
44132,44,12530,10676,6489.335919,31310,8,528.420741,4929.950422,3303.515288,501
44133,44,3046,2910,1295,27910,,99,1634,471.794851,67
44134,44,1050,1025,394.519414,26210,,18.968826,541.607335,136.56734,23
44135,44,4007,4410,2239.375462,29460,11,165.248007,1150.757377,1293.121291,240
44136,44,1246,1223,686.601587,30360,,61.709312,349.571211,277.408211,64
44137,44,3557,3476,1355.50841,27680,,91.97976,1865.727841,653.111693,73
44138,44,1124,1119,442,25930,,36,595,541.711856,55
44139,44,1541,1379,604,25720,,43,815,171.299475,20
44140,44,1559,1525,627.70399,25890,,46.121163,858.560332,287.687548,31
44141,44,1288,1284,486.632361,25480,,34.687305,670.732484,147.970139,27
44142,44,1932,1899,764,25910,,63,1047,292.57104,42
44143,44,43349,40368,20602.703119,26580,14.1,2159.355509,21663.563594,16652.48486,1241
44144,44,2358,2319,966,24390,,77,1082,644.182809,64
44145,44,3272,2913,1272,26650,,78,1674,561.135563,57
44146,44,2152,2237,912.788674,24350,,81.357128,951.018507,314.963766,55
44148,44,705,708,284.947216,23410,,36.610699,324.186081,71.747668,11
44149,44,4075,3860,1614.156445,25830,,104.965485,2101.158691,565.209391,76
44150,44,3991,3912,1604.886026,28420,,102.814582,1933.496085,4460.074017,195
44151,44,6949,6355,2847,29840,,207,3428,1357.117932,140
44152,44,3014,2984,1193.040274,26120,,111.091592,1472.964726,313.07018,65
44153,44,1749,1777,707.22275,23860,,77.377656,804.304119,185.739008,29
44154,44,14645,13778,7004.368619,28760,8,511.956068,5913.771553,4896.987539,414
44155,44,3499,3333,1381.037984,26570,,125.665565,1850.914099,416.041298,70
44156,44,3209,2873,1231.708104,25110,,87.958872,1626.06652,748.182288,59
44157,44,1764,1715,700.221184,24260,,81.860064,858.611799,282.380158,38
44158,44,7739,6952,3133,30120,,230,3775,2897.279606,240
44159,44,1246,1186,510.545086,30640,,38.702498,642.798153,168.261402,27
44161,44,3790,3776,1521.35048,25050,,162.798288,1662.921605,1286.219082,91
44162,44,50561,46603,23984.981963,25940,16.9,2800.079253,24823.701291,47219.122952,2754
44163,44,4890,4624,1873.752951,26250,,158.032662,2335.562595,1021.477625,89
44164,44,2376,2265,930.703261,25390,,81.204055,1169.514727,718.020141,71
44165,44,2405,2268,905.76149,27060,,66.643976,1246.382814,761.662388,55
44166,44,6024,5692,2464.141569,27230,,221.823242,2938.774032,687.102225,77
44168,44,4125,3983,1821.30786,24840,,135.698308,1943.802919,529.271799,53
44169,44,7768,6888,3200.706096,28760,,212.521752,3984.253487,2772.769844,244
44170,44,963,973,381.293461,23510,,37.206514,396.740557,230.645207,28
44171,44,2114,1776,830.547028,29400,,54.557959,1137.69794,181.300877,31
44172,44,16227,15247,7051.156883,28980,9,704.787644,8067.602326,6682.829145,554
44173,44,2118,2109,844.351942,26700,,47.595972,1135.669067,314.936852,37
44174,44,2390,2128,935.183507,26340,,80.373824,1264.329119,232.992639,48
44175,44,5246,4699,2068,27420,,155,2525,716.77871,100
44176,44,3221,3175,1402.460664,26080,,125.867386,1483.113811,272.931803,35
44178,44,2644,2630,1048.080352,27000,,102.223792,1307.66446,377.216605,56
44179,44,5435,4787,2089.718332,27990,,159.574249,2739.58204,919.95684,120
44180,44,6625,6589,2790.05335,23960,12,204.128516,3156.894909,2642.736806,188
44182,44,5520,4813,2729.803386,27960,,192.514073,2266.30599,1040.193336,158
44183,44,2859,2560,1182.204493,26550,,99.327979,1474.665598,433.038644,70
44184,44,73111,69719,37608.555989,24750,18,4410.797894,32114.896967,41766.770557,2203
44185,44,3304,3164,1577.044964,24480,,202.462028,1464.762263,1176.15923,96
44186,44,7209,6659,2841.16464,26790,,234.032733,3738.673304,1736.408932,180
44187,44,4701,4553,1999.018587,25240,,209.682605,2264.354141,1977.803727,154
44188,44,9392,8851,3769.240861,27410,7,301.947826,4851.790608,3313.220534,312
44189,44,2447,2353,989.841565,25540,,95.418435,1125.722792,294.599064,39
44190,44,28373,26872,13789.956452,28930,9.7,1275.480158,14100.402513,7202.202634,590
44192,44,2846,2457,1155.308114,26080,,82.023532,1480.429372,525.298744,71
44193,44,1527,1521,615,23440,,57,693,233.027169,34
44194,44,8534,7915,3760.023545,33610,7,225.356794,3725.458788,2517.55546,280
44195,44,9465,8448,3618.166632,28290,9,375.067182,4544.901611,3558.780925,291
44196,44,1693,1628,760,24330,,66,745,182.547956,18
44197,44,1658,1598,731.595068,22950,,83.358187,739.105547,302.889811,50
44198,44,9163,8216,3888,28200,8,310,4615,3953.699973,383
44199,44,1965,2000,861,24390,,78,905,642.582117,48
44200,44,339,351,151.149278,23470,,16.991243,173.98327,49.127011,6
44201,44,7457,6958,2974.84585,33610,,189.531213,3509.156637,1252.947596,179
44202,44,1820,1785,707.104129,25740,,53.536161,904.285369,390.510362,44
44203,44,2005,1928,765.769322,27440,,46.293795,1062.405309,234.296658,33
44204,44,10956,9778,4484.299239,29430,8,409.152131,5468.938852,3282.582887,297
44205,44,2619,2488,1034,25400,,83,1255,593.304313,57
44206,44,1936,1794,773,24660,,71,940,329.579078,45
44207,44,1124,1065,391.200012,24540,,33.711158,499.530742,179.632212,24
44208,44,976,862,395.074653,22750,,39.167285,476.354755,119.066743,25
44209,44,10414,8978,3987.340491,31030,6,258.202958,5278.204065,3324.024249,338
44210,44,8234,7871,3676.992222,24200,13,459.908181,3855.133825,3771.630398,379
44211,44,4862,4502,2603.166109,27900,10,203.108848,1713.846044,1247.847764,198
44212,44,9524,8953,4046,26770,8,281,4868,3935.573272,334
44213,44,7509,7540,3156.849221,24540,11,325.316071,3541.673848,1955.139392,228
44214,44,2084,2060,831.632898,24970,,63.671028,1067.703741,330.639622,51
44215,44,26048,23581,11415.695997,31190,6.6,843.352359,12534.350288,10224.240627,845
44216,44,4110,3961,1650.611306,26060,,91.685094,2031.965566,1160.86292,134
44217,44,6633,5923,2510,31380,,159,3436,2474.12409,261
44218,44,687,662,282.691587,25100,,33.242913,356.557667,171.899975,17
44220,44,1716,1648,708.943785,26690,,69.56981,951.265647,177.106401,32
44221,44,1559,1556,560.53193,26740,,31.595195,855.728907,170.884478,27
44222,44,1258,1187,489.415383,26490,,41.590509,606.240796,89.908035,17
44223,44,3691,3638,1464.393859,27620,,110.077152,1937.10451,934.735694,104
44224,44,1815,1657,690.366123,25070,,71.004095,920.497572,274.344596,35
49002,49,2925,3026,1257.519432,24540,,122.746385,1320.73153,1084.440051,101
49003,49,1734,1774,726.733759,24260,,71.343178,833.696739,335.300166,59
49007,49,157555,151229,83926.95744,23930,22,11815.815969,74053.471835,93859.828678,5368
49008,49,917,947,346.441315,23970,,45.953136,429.062241,134.293633,30
49009,49,450,467,193.380754,25070,,22.95383,246.498207,37.115932,6
49010,49,317,313,131.720854,26330,,16.065149,154.53398,58.997709,14
49011,49,410,426,171,27510,,15,198,11.018437,4
49012,49,349,366,145,23920,,11,156,45.543877,8
49015,49,15225,13699,7152.362426,28520,10,694.629835,6571.504509,5320.814017,369
49017,49,629,572,229.392622,24930,,20.90477,317.106271,86.700724,11
49018,49,11747,11868,5096.030003,24110,13,488.298425,5235.238621,4135.711581,382
49020,49,5618,5002,2439.448862,28980,,197.967248,2562.576938,8179.460456,631
49021,49,6893,7166,2917,25190,8,252,3161,2438.73853,234
49022,49,1346,1413,559.389063,27030,,26.940063,687.782407,708.957994,50
49023,49,23887,23146,9780.037898,25400,7.2,734.705389,11448.669072,8632.573127,708
49026,49,2781,2810,1153.323553,26270,,119.437487,1388.795853,612.364904,96
49027,49,2115,2040,810.971057,25980,,59.958157,1100.327364,231.652441,41
49028,49,119,123,60.017391,25600,,3.104348,58.982609,12.313732,8
49029,49,1317,1228,582.626287,28740,,71.1492,599.609898,153.270159,32
49030,49,938,998,373.751376,26080,,44.152879,455.451282,94.387863,19
49035,49,6635,6709,2734.592039,32260,,152.584498,2767.548902,1344.046714,156
49036,49,775,745,305.61151,23780,,29.676019,370.152298,41.563579,11
49038,49,236,251,104.950762,22170,,8.065378,118.013167,17.113532,5
49041,49,2078,1973,883.006943,23430,,120.328514,885.670676,305.645715,44
49045,49,617,599,231.263297,23320,,33.607772,279.847367,104.307949,16
49048,49,3193,2898,1268.935145,28100,,92.880908,1528.646931,272.423813,59
49050,49,11000,10803,4399.874875,27020,6,355.316174,5417.536087,3177.790462,325
49053,49,348,371,139.593116,24580,,5.784747,166.702614,97.552658,8
49054,49,2815,2845,1280,24000,,145,1190,1371.416065,102
49055,49,2397,2214,979.524699,29100,,64.498519,1099.523192,318.364433,60
49056,49,276,252,106,25550,,12,137,19,9
49057,49,329,362,125.089966,23600,,7.79128,150.247683,31.042845,7
49058,49,892,880,362.447486,24130,,23.850624,423.150022,1290.117003,26
49060,49,3450,3552,1509.365097,24450,,131.17145,1535.883221,1327.247706,97
49061,49,811,816,356.656919,23480,,37.937156,377.248813,178.740689,36
