CODGEO,code_departement,P22_POP,P16_POP,P22_MEN,MED_SL23,PR_MD60_23,P22_CHOM1564,P22_ACT1564,P22_EMPLT,ETTOT24
49369,49,1330,1269,602.221277,22660,,63.540922,550.917278,245.441929,42
49370,49,459,478,194,25750,,6,223,39.49227,10
49371,49,1750,1704,757.021575,25110,,69.413163,909.48366,305.316735,32
49373,49,7722,7882,3357.481725,23890,11,274.803646,3535.831954,2605.380244,282
49374,49,1462,1540,576.929583,23700,,73.940607,624.273443,177.134034,19
49377,49,5642,5503,2209.333685,28150,,152.69172,2727.181934,1067.596408,114
49378,49,2599,2589,1068.087003,24320,,112.613395,1192.837697,641.901676,60
49381,49,1829,1855,792.92979,25350,,62.638806,883.09425,475.860493,55
53001,53,1864,1812,737.993663,26540,,46.618122,908.125297,187.356908,35
53002,53,612,599,209,25350,,12,276,105.784539,16
53003,53,2603,2812,1149.935985,24800,,80.655868,1063.567242,1094.766577,104
53005,53,2324,2281,1035,25370,,42,1113,682.176146,76
53007,53,2908,2782,1177.240931,26370,,79.757998,1395.629524,447.976659,66
53008,53,1830,1788,807.619795,25970,,34.279286,837.279783,325.910595,39
53009,53,672,640,259.603293,26650,,18.958005,330.219071,157.024195,23
53010,53,419,442,172.333428,25500,,11.812819,224.19123,57.622125,8
53011,53,887,866,333.376862,25720,,39.556724,476.92859,126.494774,25
53012,53,453,497,190.310599,25350,,13.969031,233.374686,66.135529,14
53013,53,555,596,247.497927,25130,,25.52624,253.680593,127.073877,20
53015,53,1964,1923,693.093591,25810,,51.073,967.568583,249.698205,34
53016,53,1220,1244,511.305806,23270,,33.135543,458.081163,512.626009,45
53017,53,971,914,398.300574,23230,,32.638721,451.443146,444.974905,31
53018,53,1298,1275,501.733326,24480,,38.019732,583.490401,397.741917,47
53019,53,119,123,50.575,25940,,1.983333,62.475,27.890419,4
53021,53,966,999,362,27810,,20,503,74.296845,12
53022,53,495,514,200,25810,,15,257,61.883664,17
53023,53,550,540,188,26550,,10,312,47.891229,6
53025,53,1086,1119,428.652975,25390,,33.086077,560.74943,310.595091,29
53026,53,500,504,180.437673,26380,,11.274851,262.887254,89.674239,15
53027,53,203,184,76.003302,24970,,6.000261,99.004301,27.955267,7
53028,53,560,614,218.76615,25800,,15.050258,307.864144,37.059298,8
53029,53,1280,1254,501.753565,23330,,53.05651,617.680472,209.118762,41
53030,53,320,335,120.066958,26990,,7.001997,171.020265,37.819706,7
53031,53,490,499,190.189598,25540,,7.023858,251.351961,54.79398,15
53033,53,116,114,47,24250,,7,60,20.546307,5
53034,53,6294,5948,2607.658389,28150,,160.566624,2773.60048,2396.231112,230
53035,53,611,553,217.559658,24600,,16.524711,298.132107,74.677452,20
53036,53,1066,1102,413.888492,24070,,35.155371,485.950852,200.612284,26
53037,53,718,742,286.703735,25240,,28.649026,379.542522,47.075171,11
53038,53,136,164,72.467153,25820,,1.985401,63.532847,20.796803,7
53039,53,1726,1799,752.958637,24600,,31.049305,779.605252,453.958446,54
53040,53,618,648,267.919641,24100,,29.368198,327.115187,81.738051,12
53041,53,276,265,118.830947,25870,,4.930701,132.607534,45.159606,8
53042,53,833,814,364.809013,25300,,18.762809,379.882183,162.865502,23
53043,53,584,535,215.298652,24870,,19.633137,272.962827,123.843539,13
53045,53,674,704,284.35399,25970,,12.767508,317.854047,131.50622,15
53046,53,313,309,122.19201,25410,,7.033131,165.315328,35.214208,8
53047,53,254,265,119.800331,24250,,6.052147,109.617138,57.728418,11
53048,53,1173,1197,513.020266,24830,,33.626918,582.999739,463.001038,47
53049,53,691,708,245.142762,26880,,16.138277,353.330699,47.288979,6
53051,53,624,580,257.146595,23130,,31.014221,297.738102,57.824839,10
53052,53,282,305,125.013584,25830,,9.968029,136.268143,20.034888,7
53053,53,495,521,225.444638,24250,,18.204282,232.465023,66.200937,8
53054,53,6482,5950,2727,28990,,177,2779,5379.819549,466
53055,53,599,612,256.174743,24960,,17.878866,275.192182,143.913812,24
53056,53,963,1009,358.960512,27430,,25.718187,518.93264,173.997602,16
53057,53,503,501,212,22830,,12,222,114.654234,12
53058,53,315,346,132.132707,25890,,3.874506,171.515006,36.160878,8
53059,53,413,415,151.585477,25890,,10.070711,225.452738,56.655145,13
53061,53,455,495,201.322083,24260,,13.032436,211.108113,405.905186,11
53062,53,16539,16858,8036.316555,25180,11,618.665412,7101.361457,10095.578019,705
53063,53,464,479,186.76255,23810,,8.879115,242.897277,76.193437,10
53064,53,960,1046,433.351051,24540,,31.351692,432.77111,175.655284,31
53066,53,1363,1364,533.598854,25080,,23.075619,675.425762,225.079612,29
53067,53,433,406,179,23590,,16,222,68.858127,10
53068,53,155,161,68.2,23720,,2.066667,60.966667,44.565618,8
53069,53,152,175,82.909091,21580,,5.922078,62.181818,42.290202,5
53071,53,477,482,199.734044,23180,,7.832561,198.958639,64.273022,17
53072,53,1289,1204,510.342468,26020,,39.269305,651.650131,109.665704,22
53073,53,919,904,397.099692,22980,,40.52519,424.911203,340.087815,24
53074,53,840,851,338.421011,26970,,25.07238,426.828023,98.779511,20
53075,53,298,287,122,23770,,9,151,32.902921,6
53076,53,307,315,130,24720,,12,160,52.843058,11
53077,53,3208,3098,1347.078321,25160,,85.996467,1446.949481,1192.530585,124
53078,53,867,867,324.956712,24740,,23.951888,434.322319,122.163039,21
53079,53,377,366,166,22100,,20,168,70.772696,10
53080,53,114,127,69.728155,20910,,2.213592,44.271845,26.416638,7
53082,53,633,640,240.782498,24840,,19.952997,319.762025,51.764193,15
53083,53,808,902,382.891103,23610,,27.53203,352.572007,138.303728,26
53084,53,4415,4513,2101,24560,13,150,1703,3081.830011,210
53085,53,197,193,84.283505,26950,,11.170103,87.329897,11.056951,3
53086,53,633,692,270.572543,24570,,18.001896,310.939466,138.945098,24
53087,53,226,216,95.208511,26420,,7.693617,113.480851,37.346104,9
53088,53,853,890,386.059482,24090,,20.595566,410.254435,154.729851,27
53089,53,533,490,229.314496,24440,,14.714729,258.207822,45.580523,15
53090,53,184,158,72.082474,26970,,4.742268,95.793814,23.069103,6
53091,53,461,484,225.521568,24520,,20.549441,227.864433,268.430494,21
53093,53,288,285,143,21980,,4,111,35.733863,3
53094,53,2278,2249,930.965619,26100,,62.634568,1092.623234,409.226843,60
53096,53,5511,5731,2600,24330,10,147,2292,2835.72054,220
53097,53,8380,8757,3911.301632,24550,13,287.12477,3417.608493,5298.817851,281
53098,53,423,439,171.85944,24250,,3.995607,194.947638,61.414803,15
53099,53,1096,1067,438.988203,27590,,21.018622,532.614699,142.801864,23
53100,53,1186,1228,582.827957,23500,,35.372139,403.773792,346.259997,44
53101,53,838,829,328.201445,24910,,36.246896,419.926774,139.339248,12
53102,53,166,162,79.478788,23360,,9.054545,88.533333,16.103531,6
53103,53,2127,2131,854.233533,25680,,49.396287,1009.564743,646.035095,43
53104,53,1351,1328,541,25380,,38,688,213.545107,30
53105,53,238,229,93.331782,26980,,6.765911,141.119452,17.68536,5
53106,53,541,526,250,22980,,17,255,99.233612,14
53107,53,2475,2592,1244.39687,22790,,85.770838,894.279265,1977.769803,130
53108,53,570,532,224.744731,24770,,15.713403,302.395685,372.284283,27
53109,53,626,623,255.033862,25740,,16.88027,308.494425,65.884634,14
53110,53,977,1017,426.029081,23710,,38.095223,473.060221,385.615102,39
53111,53,466,479,198.289961,25380,,11.794367,222.912578,59.762438,16
53112,53,343,398,167,22120,,12,154,75.88435,15
53113,53,625,608,260,24570,,20,273,112.800614,18
53114,53,172,202,96,22320,,5,74,9.040232,1
53115,53,305,311,134.619538,23790,,0.902404,128.876517,60.470095,7
53116,53,721,756,297.231792,24300,,13.977202,331.493275,211.988719,29
53117,53,496,486,189.424211,25630,,10.9338,254.747556,55.238979,11
53118,53,228,257,106.168666,22210,,0.974958,101.101009,28.006353,8
53119,53,4554,4213,1949.627671,27360,,116.959916,2052.790865,584.927732,77
53120,53,458,472,211.493165,24920,,19.126154,191.240347,76.885759,16
53121,53,1343,1391,623.121439,23870,,38.335282,547.401627,917.701849,60
53122,53,756,727,330.009077,25500,,16.553264,359.184974,125.847229,20
53123,53,1332,1456,592,24540,,29,618,255.762662,35
53124,53,1392,1435,525.798396,24910,,41.377732,727.721896,278.805419,44
53125,53,1100,1147,503,23290,,41,443,482.500992,36
53126,53,1012,1107,452,23990,,23,455,192.697903,33
53127,53,2243,2293,997.944932,25190,,54.933184,907.384781,1017.067129,114
53128,53,322,350,134,24190,,7,143,51.615911,14
53129,53,358,386,141,26160,,5,184,36.925568,8
53130,53,49474,49492,25949.46591,24120,20.3,2851.563341,22203.512878,36196.474479,2292
53131,53,184,194,92.513966,24470,,5.139665,86.346369,40.251198,7
53132,53,274,303,124.427345,25530,,9.347196,130.377339,74.522496,13
53133,53,710,761,347.299052,22580,,22.474648,299.669344,88.460402,11
53134,53,187,148,69.994413,24700,,4.178771,82.530726,18.586192,3
53135,53,728,750,284.824581,25660,,17.921236,355.517006,121.061787,19
53136,53,1227,1165,474.422848,27030,,20.827888,647.421398,147.039038,20
53137,53,2724,2640,1067,26550,,55,1396,592.30817,68
53139,53,410,404,183,23510,,13,191,50.057869,12
53140,53,4345,4228,1885,26750,,109,1999,1943.693825,121
53141,53,1182,1137,419.034693,26550,,33.795606,594.246819,119.811123,22
53142,53,284,310,144.468475,25520,,5.043527,127.024261,48.518402,10
53143,53,510,523,192,26710,,10,264,48.98736,11
53144,53,750,816,324.961497,25420,,19.703059,374.013788,205.779371,20
53145,53,543,549,219.158921,25050,,9.016738,286.093541,68.215332,15
53146,53,1884,1830,744,27080,,37,893,608.615085,54
53147,53,12854,12893,6532.265035,24830,15,577.739076,5252.553044,10637.423682,556
53148,53,230,221,84.469027,23760,,6.106195,123.141593,55.781928,10
53150,53,907,963,391.99571,26600,,27.081119,460.334685,144.065612,26
53151,53,1075,1091,404.629846,24570,,26.229839,522.785146,260.905227,26
53152,53,2784,2908,1335.814221,23330,,103.86264,1134.648174,1391.163375,122
53153,53,625,672,271.752898,24880,,13.730698,322.025859,73.67115,11
53154,53,883,906,374,24040,,23,369,278.568337,32
53155,53,1307,1363,561,25320,,35,627,238.875716,34
53156,53,250,255,102.192068,27530,,7.267108,138.851405,70.347222,10
53157,53,1342,1255,535.96092,27480,,36.887419,701.777193,118.729742,22
53158,53,1030,1025,420,25180,,29,529,143.472493,32
53160,53,374,377,170.100685,24270,,10.012881,183.440019,73.044425,14
53161,53,3192,3272,1391.343215,24680,,77.738838,1435.74955,1083.194715,104
53162,53,977,959,463,27330,,24,446,119.054625,20
53163,53,757,768,299.898895,24060,,24.797463,373.324857,178.518452,14
53164,53,345,347,179.953754,23570,,11.082071,159.487242,118.044991,14
53165,53,347,345,142.023145,27460,,8.031372,151.258115,22.157764,1
53168,53,1250,1217,525,25200,,36,646,213.354994,28
53169,53,406,417,165.081622,26280,,8.902292,191.86936,29.55345,8
53170,53,1124,1193,488.22382,25420,,35.776775,527.091847,153.975267,25
53172,53,394,422,161.64283,27690,,13.18831,226.295234,35.402291,9
53173,53,177,199,73.342541,25010,,7.823204,86.055249,36.437475,4
53174,53,841,846,327.33313,26960,,16.086345,400.336111,253.297177,20
53175,53,1384,1335,540.173026,27440,,27.28553,717.611834,266.468636,29
53176,53,522,546,214,24150,,17,225,101.109465,17
53177,53,296,355,130.882917,24750,,11.590694,134.398927,87.013281,11
53178,53,228,228,89.722222,26730,,3.166667,137.222222,45.348038,9
53179,53,354,334,142.909156,24670,,10.284935,174.168349,53.263987,7
53180,53,659,661,261.763393,25530,,17.706134,355.41857,136.035958,31
53181,53,808,848,352.672366,23480,,10.006407,239.44751,515.675764,28
53182,53,1816,1817,828.482602,24100,,54.665625,887.724595,692.538935,36
53184,53,161,167,57,28640,,2,83,42.877379,6
53185,53,2300,2343,1079.545356,23140,,104.409199,932.74487,840.236984,89
53186,53,2141,2175,904.806833,24480,,61.599303,1002.094483,464.61214,73
53187,53,230,233,107.329845,25070,,5.810122,111.862198,19.832185,7
53188,53,2506,2529,1187.443301,23090,,109.115846,947.446217,1143.506639,56
53189,53,111,109,51,25370,,5,62,20.083516,6
53190,53,464,458,205.100209,23970,,19.80482,208.13617,71.190202,14
53191,53,250,244,105.563439,22560,,9.296863,129.915185,34.011802,8
53192,53,311,333,125.64507,22110,,6.811276,138.63747,55.768341,6
53193,53,575,564,229.135924,26060,,23.397463,316.48947,77.565768,9
53195,53,484,497,173.329306,27430,,12.269106,265.640515,57.668339,9
53196,53,350,374,170.942367,24210,,13.079202,158.242541,79.425598,16
53197,53,934,893,391.185646,22440,,25.443249,353.069657,253.49726,37
53198,53,223,245,107.14472,23780,,3.93949,90.243881,28.478142,6
53199,53,212,218,100.198053,23360,,7.790759,90.560008,35.265167,4
53200,53,1181,1130,476.157709,27620,,24.810752,581.659717,71.951997,14
53201,53,7384,7344,3393.51408,26720,10,267.385157,3215.69156,5217.500327,476
53202,53,294,344,144.395777,24170,,10.496439,126.630967,142.677603,14
53203,53,524,529,218.278373,24760,,22.983862,263.976082,23.061964,6
53204,53,399,386,171.533261,24750,,12.314479,182.358015,38.196908,8
53206,53,219,209,93.857143,26530,,10.428571,114.714286,23.062741,4
53208,53,502,488,219,24350,,15,215,51.97326,10
53209,53,559,536,226.454105,26170,,12.115272,290.168071,72.231027,13
53210,53,1512,1557,639.382327,24730,,54.695851,671.66819,349.721415,38
53211,53,1440,1548,653.259341,24620,,46.489983,645.69925,392.479064,54
53212,53,456,428,179.924645,27900,,9.553633,255.7659,45.06112,8
53213,53,496,524,216.642637,22430,,8.438797,229.56257,69.952926,11
53214,53,154,174,67.079755,24840,,3.779141,85.030675,27.948061,5
53216,53,946,1001,381.742673,25120,,21.83717,446.255421,211.552667,20
53218,53,770,877,352.354273,25000,,20.018783,388.851606,129.900148,23
53219,53,1381,1432,616.198873,26250,,29.817575,675.541359,197.974222,38
53220,53,378,418,136.226775,25020,,10.26314,187.809575,41.714233,8
53221,53,394,382,162.025513,23240,,14.130192,166.531554,45.170929,10
53222,53,365,400,136.094439,25040,,7.003809,170.014585,45.48273,5
53223,53,329,362,171.555125,22500,,11.008851,144.992249,74.450545,16
53224,53,1179,1158,433.261366,26630,,30.047825,641.978008,109.589393,16
53225,53,513,488,189.761243,25200,,19.086155,269.898832,60.673236,13
53226,53,808,851,315.120238,25350,,28.794405,405.959813,110.331358,22
53228,53,556,616,241.953596,23890,,20.772341,253.685386,98.392341,16
53229,53,1689,1653,650.717988,28550,,38.859915,867.389064,140.728918,25
53230,53,257,238,117,24340,,6,123,29.063097,6
53232,53,323,304,119.857878,24850,,16.287845,162.978768,28.211801,10
53233,53,335,376,141.68833,23420,,9.984641,157.037108,45.74453,9
53234,53,321,362,140,26260,,11,153,26.002247,8
53235,53,228,212,105.571268,24010,,8.055247,87.532129,28.04591,8
53236,53,166,161,88.253165,22860,,7.35443,73.544304,22.871501,9
53237,53,440,472,194.595445,23740,,11.782872,191.289984,69.853896,13
53238,53,521,553,255.512325,24400,,16.87951,234.187124,85.20848,14
53240,53,425,443,193.938601,23970,,8.839826,200.166113,34.215599,10
53242,53,255,263,97.848837,26100,,8.895349,120.581395,53.613877,8
53243,53,1782,1746,718,26650,,42,915,316.683599,41
53245,53,927,942,394.822405,24850,,32.221725,461.633557,351.25947,40
53246,53,1761,1993,849.424427,24420,,67.159697,774.994714,270.603019,40
53247,53,2313,2153,963.626189,25620,,55.648719,1084.179584,654.653136,50
53248,53,132,141,63.171429,23290,,6.6,69.771429,32.499338,5
53249,53,1107,1118,525.029765,23440,,39.640809,474.464184,197.017756,42
53250,53,391,404,177.259191,23510,,12.125573,201.15461,39.331228,10
53251,53,475,420,172.626292,25640,,14.287091,234.084632,67.096278,16
53253,53,518,508,185.154104,22690,,19.961575,218.5017,324.56129,10
53255,53,1197,1314,585,25270,,27,559,229.421109,32
53256,53,162,191,87.593023,25070,,7.534884,63.104651,47.924743,10
53257,53,328,313,119.68056,25280,,13.548745,136.866141,96.928105,18
53258,53,901,956,347.070775,25120,,28.39888,400.372599,438.672575,36
53259,53,376,349,181.944794,23580,,12.499899,226.305151,138.279393,23
53260,53,386,443,148.137749,24650,,9.743735,203.999349,228.168166,15
53261,53,149,165,72.892086,24920,,4.28777,73.964029,20.294964,7
53262,53,1060,1087,418,25000,,25,514,242.680004,31
53263,53,270,292,135.210209,23970,,5.110808,116.306017,33.844995,9
53264,53,190,196,78.350515,23070,,13.71134,88.14433,59.00406,7
53265,53,770,756,321.517068,23840,,25.501639,354.014413,116.168163,16
53266,53,227,235,97,25190,,7,110,47.665252,4
53267,53,1164,1160,479.910858,24120,,46.949019,536.54949,470.711387,60
53269,53,612,592,244.163954,24410,,16.220586,291.407937,115.102769,21
53270,53,110,127,50.695652,25040,,1.913043,47.826087,19.181403,3
53271,53,2682,2855,1349.678476,23640,,127.133642,981.839751,1879.233059,111
53272,53,192,173,87.178378,21900,,11.416216,81.989189,21.773859,6
53273,53,1080,1135,435.410571,26060,,26.222456,578.800085,232.573569,34
53276,53,905,911,382.04743,23090,,24.615887,413.817706,320.859715,17
72001,72,1681,1631,655,27990,,48,825,194.803511,26
72002,72,199,219,88,24850,,6,87,12.108617,5
72003,72,10740,11102,4657.931117,20890,27,758.801015,4093.699957,6813.38621,239
72004,72,569,563,218,26440,,23,301,45.106267,12
72005,72,917,961,394.983377,24560,,22.01926,398.532874,147.336011,17
72006,72,1897,1841,841,26810,,48,810,1145.763597,123
72007,72,499,480,201.374267,26570,,16.956435,237.122527,205.94688,10
72008,72,5463,5251,2431.667601,25890,11,178.128473,2245.498731,3635.029751,235
72009,72,351,407,135.023818,24400,,16.708522,180.298876,24.592894,5
72010,72,337,405,168,25320,,11,177,36.894477,8
72011,72,898,916,385.876251,24120,,38.688102,414.257384,106.994496,21
72012,72,478,522,204.432601,25870,,10.689948,231.259407,56.333046,13
72013,72,2131,2125,1005.585097,23090,,95.88447,905.036834,475.225417,42
72015,72,107,119,46.929825,24770,,5.631579,45.052632,24.139756,3
72016,72,1458,1490,586.78685,24330,,44.537222,670.571442,215.29509,31
72017,72,229,245,87.849138,27200,,4.935345,119.435345,31.48333,9
72018,72,88,89,43.102041,,,1.795918,42.204082,11.104817,2
72019,72,335,370,137,25580,,9,185,54.224361,14
72020,72,692,737,300.104264,25880,,30.378314,348.756155,79.257912,15
72021,72,572,626,268.623133,24350,,34.130067,306.397009,78.44873,13
72022,72,1217,1243,473.942113,23910,,55.148515,578.454662,1283.940729,36
72023,72,2270,2211,970.232605,24620,,71.190924,1076.401388,553.28097,51
72024,72,3748,3657,1597.042199,28010,,80.065559,1747.788718,779.267953,82
72025,72,1946,2075,861.508459,25020,,71.853779,961.010697,285.906596,42
72026,72,1523,1484,646.206743,26320,,53.455791,719.299735,165.234167,24
72027,72,329,333,164,25140,,11,159,41.827037,6
72028,72,476,483,196.871481,24810,,25.527564,226.791838,84.383649,18
72029,72,1974,1957,963.315008,23110,,112.240963,754.459132,807.621337,73
72031,72,543,528,207.032027,24620,,24.693754,292.23355,109.76735,15
72032,72,334,333,154.657868,25250,,19.016225,174.376702,26.888572,6
72034,72,434,453,182.810976,28460,,6.962831,199.661195,90.928692,13
72035,72,2025,2222,1042.206799,24030,,148.309008,749.787391,666.635215,58
72036,72,306,337,127.62611,25350,,7.894606,138.183845,16.485045,6
72037,72,129,97,58.05,23500,,9.675,59.125,4.212313,1
72038,72,534,626,232.85784,24980,,20.490932,263.800553,146.100673,7
72039,72,3721,3869,1786.516964,23060,,150.846801,1452.684104,1330.888214,90
72040,72,153,135,62.6875,22850,,9.5625,77.5625,13.75,5
72041,72,352,324,130.896963,25620,,4.056776,187.809514,36.119583,11
72042,72,2121,2068,994,24280,,90,875,775.869474,86
72043,72,335,316,148.892569,25970,,12.345961,150.60265,13.516248,3
72044,72,431,439,166.975843,24940,,11.003213,216.571081,56.489602,9
72045,72,781,812,285.462235,26420,,25.40779,403.393306,48.608452,9
72046,72,1562,1541,660.49281,24720,,49.189646,781.372113,256.234292,23
72047,72,2127,2148,809.778159,26250,,54.004656,1047.16161,253.112545,28
72048,72,537,556,210.771849,25290,,15.677541,283.447033,59.374099,8
72049,72,250,246,103.852983,22810,,4.031751,105.842103,42.387095,13
72050,72,1525,1609,722.546408,24140,,56.853699,666.123504,1485.472225,79
72051,72,3365,3372,1390.525983,26370,,102.482304,1673.721416,633.348619,83
72052,72,668,701,332.898198,26200,,20.399639,217.005471,103.461539,14
72053,72,1161,1220,499,26330,,28,564,228.44545,13
72054,72,3680,3857,1367.293949,25470,,167.746835,1845.410423,3905.084228,111
72056,72,1303,1373,530.050093,25700,,41.570909,567.573796,145.013576,15
72057,72,68,68,31.166667,,,0.944444,40.611111,8.555556,0
72058,72,6803,6463,2771,28860,7,175,3058,1864.180655,183
72059,72,816,859,365.328848,24720,,33.631037,410.946501,144.090715,36
72060,72,282,269,132,22860,,21,121,32.914229,7
72061,72,1725,1691,699.953907,24860,,70.904852,897.885894,253.929929,24
72062,72,779,879,348,25730,,25,415,174.610521,22
72064,72,517,545,237.423717,26080,,27.056395,229.493361,57.660177,16
72065,72,2252,2389,1009.200743,29750,,58.042491,928.500847,2385.781668,287
72066,72,421,454,170.021263,27040,,6.920903,198.405078,14.71805,4
72067,72,998,975,400,25130,,33,524,112.282939,15
72068,72,1370,1440,700.300213,23120,,83.750561,466.928947,961.205781,78
72070,72,250,242,111.167746,24410,,10.991851,124.015576,11.651066,3
72071,72,5707,6160,2923,22730,21,292,2053,3164.714203,198
72072,72,255,263,97.617188,26170,,5.976562,129.492188,10.900092,4
72073,72,1164,1065,456.50428,27040,,47.65636,601.938928,103.255074,23
72074,72,213,210,99,26180,,4,95,12,4
72075,72,996,969,399.265522,26100,,25.754859,508.963017,102.187481,17
72076,72,259,226,91.348548,27170,,6.448133,120.365145,6.099973,1
72077,72,436,431,198.832674,24150,,22.24252,182.775838,262.893276,16
72078,72,353,368,158.902833,23620,,9.026477,159.834035,143.751753,15
72079,72,308,307,126.834052,25730,,4.022912,147.886811,22.73519,5
72080,72,2746,2685,1188.971616,26610,,72.087697,1139.165536,2789.735326,101
72083,72,357,410,140.857364,26050,,15.166216,189.14538,44.940558,10
72084,72,1276,1266,546.363496,25500,,48.118222,614.038591,141.119383,18
72085,72,177,194,93.896341,25690,,5.396341,99.292683,31.7256,6
72086,72,138,134,56,27210,,12,63,13.085519,3
72087,72,460,529,220.932199,26120,,13.433469,204.715008,59.817989,16
72088,72,320,348,138.003548,25140,,17.544468,193.15202,61.474318,9
72089,72,1828,1878,896.690594,24300,,84.845022,728.816374,683.97056,72
72090,72,2838,2900,1384.058858,24270,,93.769614,1262.133647,1415.064874,95
72091,72,135,142,66,25150,,3,65,18.05298,4
72093,72,886,911,394,26650,,29,450,101.036351,19
72094,72,638,619,294,23620,,24,290,64.809858,14
72095,72,8049,7447,3388.387306,21320,28,734.342574,3148.498507,2413.503773,139
72096,72,1619,1643,604,27030,,27,761,565.192357,45
72098,72,512,527,234,24070,,27,242,44.487642,10
72099,72,641,636,247.764927,25210,,23.920003,337.153482,59.522681,10
72100,72,403,410,164.860464,24400,,11.470947,222.573537,48.140063,13
72101,72,670,683,269.025503,24290,,26.846646,373.993798,77.448551,16
72102,72,83,95,44,,,5,49,8.925195,2
72103,72,614,608,297.632012,23660,,41.173411,271.145036,96.022812,21
72104,72,585,582,254,23220,,23,279,96.437467,10
72105,72,460,501,203,28090,,13,216,38.16686,7
72106,72,910,933,342.66308,26580,,15.182028,477.034533,75.257781,8
72107,72,341,352,147,27990,,8,189,29.062995,8
72109,72,544,604,226.671427,25610,,21.641811,266.148696,61.829099,12
72110,72,993,1044,391.904117,24520,,34.778831,535.851775,212.587466,24
72111,72,490,494,193,26630,,17,262,41.734974,12
72112,72,482,478,203.015242,23670,,25.607007,228.427324,55.579101,20
72113,72,746,795,288.954897,28160,,11.989734,370.343374,66.612008,15
72114,72,250,271,107.333422,25820,,9.18496,126.99374,26.737002,12
72115,72,942,942,428.951389,24280,,24.77334,427.585381,166.560074,26
72118,72,1433,1483,655.357778,24670,,72.338512,662.269187,183.970946,31
72119,72,1062,1027,445.107524,28120,,24.668011,552.144461,115.697374,14
72120,72,225,250,87,25660,,14,128,22.059044,7
72121,72,318,333,138.985762,25090,,14.902919,148.295533,39.857068,10
72122,72,1076,1047,452.652934,25760,,23.715678,509.202404,72.199066,16
72123,72,61,71,27,,,3,29,3,1
72124,72,4818,4632,2241.750576,24770,11,225.001893,2126.719719,1510.032195,143
72125,72,304,295,121.819883,24740,,5.339177,143.872383,63.66606,10
72126,72,290,301,122.144487,24330,,13.258532,143.21722,41.189745,11
72127,72,1852,1948,806,27840,,55,848,122.89401,16
72128,72,526,526,254.292827,24390,,26.018507,244.546586,58.095387,10
72129,72,905,841,344.933382,26830,,25.383772,487.962954,84.595465,14
72130,72,736,643,271.645442,29030,,16.402298,377.61448,58.359837,13
72131,72,577,588,242.166261,25100,,20.241576,282.609239,56.49939,10
72132,72,8769,8848,4490.076857,23720,18,487.004059,3601.649097,6316.148397,401
72133,72,1543,1510,605,28910,,43,799,134.737522,22
72134,72,525,543,235.593618,24260,,30.276246,259.260218,57.756181,12
72135,72,600,621,231.752232,24670,,19.897477,283.499391,65.105882,6
72136,72,309,327,128.279919,26510,,13.141015,176.167124,47.72516,8
72137,72,2189,2220,934.078306,26010,,63.004035,992.764803,258.906687,36
72138,72,2909,3026,1407.487208,23250,,151.229227,1123.168896,1053.196197,104
72139,72,995,1004,419.737003,24100,,36.436328,468.640221,162.923151,25
72141,72,889,967,388.362952,25040,,44.593096,456.769333,64.767559,16
72142,72,141,160,68.568493,23940,,8.691781,73.39726,21.666728,6
72143,72,1941,1920,810.715515,23840,,88.805795,763.804813,931.206292,64
72144,72,339,334,164.764298,23710,,15.109056,142.949594,35.518224,11
72145,72,384,394,173,23830,,18,171,28.265514,10
72146,72,3200,3015,1268,27470,,61,1457,320.130201,56
72147,72,1285,1082,519,26700,,44,678,96.330777,24
72148,72,80,85,33,,,3,39,19.839602,5
72149,72,597,654,241.917593,25210,,21.72241,297.01843,180.40804,24
72150,72,1275,1286,498,27340,,28,653,201.253729,36
72151,72,1142,1156,499.079059,25320,,40.452821,559.109203,129.26827,21
72152,72,412,474,188.306218,26330,,9.353069,162.051002,42.573675,5
72153,72,552,572,264.34641,22820,,44.696149,257.307752,82.636012,15
72154,72,15081,15163,7268.418283,24300,16,837.426409,6381.409536,7623.587448,555
72155,72,4260,4479,1801.37158,27340,,115.281593,1971.721999,653.368106,80
72156,72,920,970,390.901837,25110,,41.491338,486.989993,134.236858,14
72157,72,695,737,296.957803,28000,,23.844496,341.535582,19.647529,7
72158,72,817,847,356.415715,24280,,38.757351,401.653813,89.504033,19
72160,72,585,606,247,25400,,24,287,105.437006,13
72161,72,938,903,473,24260,,38,377,115.728067,16
72163,72,484,510,192.826512,25590,,23.549461,253.123752,60.882105,9
72164,72,65,70,26.825397,,,0,31.984127,4.126984,1
72165,72,1937,1917,814.873633,26120,,60.611738,912.029138,147.248749,19
72166,72,295,331,128.79413,25470,,9.219563,158.363712,37.475498,10
72167,72,703,732,260.991744,25990,,14.722282,382.76467,249.466521,20
72168,72,2100,2185,1002.023384,23680,,73.282705,883.367256,1291.960071,74
72169,72,1496,1467,597.770849,27340,,35.959873,776.879088,169.66837,30
72170,72,175,182,80.617978,22920,,8.848315,86.516854,23.820164,8
72171,72,104,101,59,,,4,41,9.068634,4
72172,72,1454,1445,621.746684,24680,,47.892172,680.930182,251.604682,30
72173,72,1233,1234,536.314339,25610,,41.625775,516.62596,626.333176,42
72174,72,105,107,51.527778,,,6.805556,58.333333,15.856254,7
72175,72,1524,1568,730.940521,24070,,50.53023,649.08066,461.756805,48
72176,72,4016,4344,1984.663302,22820,17,186.108627,1528.219317,1512.437723,157
