id_election,id_brut_miom,code_departement,libelle_departement,code_canton,libelle_canton,code_commune,libelle_commune,code_circonscription,libelle_circonscription,code_bv,inscrits,abstentions,votants,blancs,nuls,exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_inscrits,ratio_blancs_votants,ratio_nuls_inscrits,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants,taux_participation,taux_abstention,annee,type_election
2012_legi_t1,72181_0083,72,Sarthe,39.0,,72181,Le Mans,4.0,,0083,1052,410,642,0.0,17,625,38.97,61.03,,,1.62,2.65,59.41,97.35,61.0266,38.9734,2012,legi
2012_legi_t1,72181_0084,72,Sarthe,34.0,,72181,Le Mans,1.0,,0084,1006,422,584,0.0,9,575,41.95,58.05,,,0.89,1.54,57.16,98.46,58.0517,41.9483,2012,legi
2012_legi_t1,72181_0085,72,Sarthe,34.0,,72181,Le Mans,1.0,,0085,993,407,586,0.0,8,578,40.99,59.01,,,0.81,1.37,58.21,98.63,59.0131,40.9869,2012,legi
2012_legi_t1,72181_0086,72,Sarthe,34.0,,72181,Le Mans,1.0,,0086,1083,486,597,0.0,8,589,44.88,55.12,,,0.74,1.34,54.39,98.66,55.1247,44.8753,2012,legi
2012_legi_t1,72181_0087,72,Sarthe,34.0,,72181,Le Mans,1.0,,0087,1057,486,571,0.0,7,564,45.98,54.02,,,0.66,1.23,53.36,98.77,54.0208,45.9792,2012,legi
2012_legi_t1,72181_0088,72,Sarthe,34.0,,72181,Le Mans,1.0,,0088,1086,455,631,0.0,14,617,41.9,58.1,,,1.29,2.22,56.81,97.78,58.1031,41.8969,2012,legi
2012_legi_t1,72181_0089,72,Sarthe,34.0,,72181,Le Mans,1.0,,0089,1072,482,590,0.0,10,580,44.96,55.04,,,0.93,1.69,54.1,98.31,55.0373,44.9627,2012,legi
2012_legi_t1,72181_0090,72,Sarthe,34.0,,72181,Le Mans,1.0,,0090,949,438,511,0.0,17,494,46.15,53.85,,,1.79,3.33,52.05,96.67,53.8462,46.1538,2012,legi
2012_legi_t1,72181_0091,72,Sarthe,34.0,,72181,Le Mans,1.0,,0091,1036,470,566,0.0,14,552,45.37,54.63,,,1.35,2.47,53.28,97.53,54.6332,45.3668,2012,legi
2012_legi_t1,72181_0092,72,Sarthe,34.0,,72181,Le Mans,1.0,,0092,1029,404,625,0.0,21,604,39.26,60.74,,,2.04,3.36,58.7,96.64,60.7386,39.2614,2012,legi
2012_legi_t1,72181_0093,72,Sarthe,34.0,,72181,Le Mans,1.0,,0093,1011,462,549,0.0,16,533,45.7,54.3,,,1.58,2.91,52.72,97.09,54.3027,45.6973,2012,legi
2012_legi_t1,72181_0094,72,Sarthe,34.0,,72181,Le Mans,1.0,,0094,1038,459,579,0.0,13,566,44.22,55.78,,,1.25,2.25,54.53,97.75,55.7803,44.2197,2012,legi
2012_legi_t1,72181_0095,72,Sarthe,34.0,,72181,Le Mans,1.0,,0095,937,420,517,0.0,16,501,44.82,55.18,,,1.71,3.09,53.47,96.91,55.1761,44.8239,2012,legi
2012_legi_t1,72181_0096,72,Sarthe,34.0,,72181,Le Mans,1.0,,0096,740,337,403,0.0,8,395,45.54,54.46,,,1.08,1.99,53.38,98.01,54.4595,45.5405,2012,legi
2012_legi_t1,72181_0097,72,Sarthe,34.0,,72181,Le Mans,1.0,,0097,1133,528,605,0.0,9,596,46.6,53.4,,,0.79,1.49,52.6,98.51,53.3981,46.6019,2012,legi
2012_legi_t1,85001_0001,85,Vendée,11.0,,85001,L'Aiguillon-Sur-Mer,5.0,,0001,1041,363,678,0.0,7,671,34.87,65.13,,,0.67,1.03,64.46,98.97,65.1297,34.8703,2012,legi
2012_legi_t1,85001_0002,85,Vendée,11.0,,85001,L'Aiguillon-Sur-Mer,5.0,,0002,958,391,567,0.0,7,560,40.81,59.19,,,0.73,1.23,58.46,98.77,59.1858,40.8142,2012,legi
2012_legi_t1,85003_0003,85,Vendée,20.0,,85003,Aizenay,1.0,,0003,1191,480,711,0.0,17,694,40.3,59.7,,,1.43,2.39,58.27,97.61,59.6977,40.3023,2012,legi
2012_legi_t1,85003_0004,85,Vendée,20.0,,85003,Aizenay,1.0,,0004,1061,394,667,0.0,15,652,37.13,62.87,,,1.41,2.25,61.45,97.75,62.8652,37.1348,2012,legi
2012_legi_t1,85003_0005,85,Vendée,20.0,,85003,Aizenay,1.0,,0005,1297,502,795,0.0,15,780,38.7,61.3,,,1.16,1.89,60.14,98.11,61.2953,38.7047,2012,legi
2012_legi_t1,85020_0006,85,Vendée,12.0,,85020,Benet,5.0,,0006,934,376,558,0.0,8,550,40.26,59.74,,,0.86,1.43,58.89,98.57,59.743,40.257,2012,legi
2012_legi_t1,85047_0007,85,Vendée,3.0,,85047,Challans,1.0,,0007,1096,443,653,0.0,8,645,40.42,59.58,,,0.73,1.23,58.85,98.77,59.5803,40.4197,2012,legi
2012_legi_t1,85047_0008,85,Vendée,3.0,,85047,Challans,1.0,,0008,990,404,586,0.0,13,573,40.81,59.19,,,1.31,2.22,57.88,97.78,59.1919,40.8081,2012,legi
2012_legi_t1,85047_0009,85,Vendée,3.0,,85047,Challans,1.0,,0009,1068,453,615,0.0,8,607,42.42,57.58,,,0.75,1.3,56.84,98.7,57.5843,42.4157,2012,legi
2012_legi_t1,85047_0010,85,Vendée,3.0,,85047,Challans,1.0,,0010,990,420,570,0.0,12,558,42.42,57.58,,,1.21,2.11,56.36,97.89,57.5758,42.4242,2012,legi
2012_legi_t1,85047_0011,85,Vendée,3.0,,85047,Challans,1.0,,0011,958,429,529,0.0,8,521,44.78,55.22,,,0.84,1.51,54.38,98.49,55.2192,44.7808,2012,legi
2012_legi_t1,85047_0012,85,Vendée,3.0,,85047,Challans,1.0,,0012,1035,407,628,0.0,10,618,39.32,60.68,,,0.97,1.59,59.71,98.41,60.6763,39.3237,2012,legi
