model,RMSE,MAE,R2,n_obs,cv
RandomForest,3.695029412483847,2.8046079715198116,0.9419924717939125,8039,KFold(5)
Ridge,4.347997655733528,3.196866121019954,0.9197112587042394,8039,KFold(5)
LinearRegression,4.348847785223652,3.1988627630465856,0.9196797442723346,8039,KFold(5)
