CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
44014,3967,3718,27.54,287,96,1580.81074487522,43,16,1691.44493878327,1580.81074487522,41.2363813657285,69.3978125423236,1278.74152594962,28650,s,2058.67546010132,1839.71884880473,1737.13335110954,2470.21381324176,96.7903233408235,2044.13123836387,155,10,26,27,84,8,108,41
44015,10352,9687,101.72,623,601,4336.93866870256,107,103,4743.12655064696,4336.93866870256,99.710203578082,306.477678366315,3003.34146521351,25370,10,3934.72485039889,3432.1401387927,3813.40245008761,6189.93270521813,462.681301463878,4795.73023200705,303,19,12,40,193,39,223,62
44016,1114,1040,9.41,87,24,426.077539318244,11,9,461.484769907956,426.077539318244,8.58357105205144,26.8236595376607,360.285211753333,25500,s,248.997930624484,206.594392066769,256.085480382221,713.570417888086,30.9149065564375,586.943313080624,25,5,4,1,13,2,15,6
44018,8281,7620,13.83,511,271,3505.5622153659,74,41,3649.35173601648,3505.5622153659,25.8614245774425,117.928096073138,2445.13379377727,28660,7,2383.92398543799,2056.17521000706,2114.35432081485,5155.80416413236,297.050313254993,4080.79834393489,247,6,27,33,149,32,180,48
44019,1100,956,21.29,93,27,433,14,6,467,433,13,21,377,27720,s,94.1920121445753,61.7500436779492,96.9393822025622,667,25,565,17,2,1,2,7,5,13,2
44020,20590,19049,31.5,1547,914,8799.02211668343,228,164,9151.46346509821,8799.02211668343,79.296990051394,273.14435836339,5659.78948678884,26590,13.8,13370.3558896046,12412.8869589342,12025.7423563206,13194.5698899219,949.69610130695,10230.9548322639,598,4,52,72,397,73,363,193
44021,5004,4931,73.68,280,425,2088.60325440783,35,85,2419.64216478652,2088.60325440783,196.171206150332,134.867704228353,1668.02145906469,25470,s,986.787690928804,744.050400791324,1025.77911211213,2893.95659701141,189.95417708107,2240.02084385782,143,29,11,26,58,19,108,18
44022,2814,2632,26.45,159,183,1153.40479878873,23,30,1251.72479878873,1153.40479878873,24.0570212765957,74.2629787234042,963.281273292515,25720,s,652.433165016572,540.077462731312,583.463463140959,1783.01238309988,82.8296577190752,1388.22947644575,59,7,7,8,27,10,44,11
44023,3067,3141,47.63,226,237,1267.18006422096,38,35,1418.89698392098,1267.18006422096,32.8036583135174,118.913261386501,959.166355700136,25630,s,1025.59916000451,872.511767704747,1006.83089076113,1919.54061469825,113.428742720445,1528.20463876528,74,13,5,14,37,5,61,6
44024,2760,2790,15.31,173,70,1129.71746066508,20,14,1183.82164562264,1129.71746066508,10.1445346795435,43.9596502780219,950.747836762835,29020,s,265.455322481939,170.197099438752,318.932865398267,1795.69763904661,72.8703996733484,1450.29636272887,44,4,7,6,20,7,30,3
44025,4031,4018,49.82,258,210,1569.42950756166,34,30,1725.3505065664,1569.42950756166,56.418782534609,99.5022164701286,1278.02834111249,26710,s,1279.64040414008,1074.74787161133,1133.03775965078,2394.13981244907,132.661441417576,1896.01926114679,135,13,18,20,72,12,96,33
44026,20535,19384,43.42,1050,896,9027.76160413996,160,140,10212.7906783504,9027.76160413996,710.760529553113,474.268544657285,5350.59985789629,30820,7.4,20237.7856548798,18914.4946631722,17730.9611085872,13355.0314051151,717.155669648136,9831.42844041999,990,18,85,90,712,85,598,326
44027,2600,2217,16.15,171,37,954,25,6,1000,954,18,28,797,28050,s,268.649432555571,174.148010069907,232.529979098354,1733,81,1421,41,2,3,9,21,6,31,4
44028,4011,3698,35.99,267,225,1642.84201634803,47,46,1817.85874403322,1642.84201634803,38.8926061522642,136.124121532925,1306.50469733869,29370,s,1488.40407385875,1272.45011831083,1382.07846806675,2473.72979767695,161.782119861527,1934.57168343042,124,8,11,17,78,10,86,24
44029,7158,6713,33.9,472,315,2932.9928641259,84,56,3102.17279609794,2932.9928641259,36.1054732867157,133.074458685324,2300.68721188358,27150,s,1963.59064024255,1647.33814289226,1932.14016381263,4499.46780191445,231.082642790389,3593.67064420173,211,13,21,41,118,18,151,45
44030,4424,4109,18.05,263,282,1858.62215297057,41,46,2057.63276634595,1858.62215297057,70.4829255704454,128.52768780493,1444.37035183657,25090,s,514.419112060058,408.636130841728,514.022185429122,2582.81619994495,211.609131691893,2003.87859168961,56,1,5,13,29,8,40,11
44031,811,816,34.5,40,36,361,10,11,429,361,16,52,285,23880,s,123.532608213583,63.7270847104867,182.370495184991,477,34,357,26,11,1,1,10,3,21,0
44032,3443,3265,13.47,239,81,1312.11806830768,42,20,1430.6081238722,1312.11806830768,53.5781120813484,64.9119434831721,1070.85229690012,28350,s,898.97046618709,759.872000754202,803.529200791349,2198.11086783313,76.4509616452051,1775.2194028463,85,5,7,24,39,10,58,17
44033,3246,2983,24.82,206,91,1237.50113328909,27,20,1333.79808973779,1237.50113328909,20.48871413802,75.808242310674,1060.24153588121,28930,s,380.708659329629,289.744784588095,327.161859954382,2012.38058151605,86.322103142261,1626.92874130546,47,7,1,9,22,8,32,7
44035,20483,19348,33.42,1142,748,8608.15524688105,165,139,9085.81945331264,8608.15524688105,235.939886688034,241.724319743551,5877.01187118616,31490,7,10410.1989146636,9419.49116944198,9074.80534019535,12539.1679220516,825.799012653491,9857.84957845986,637,9,42,60,465,61,416,192
44036,12231,11854,33.62,579,875,5957.05299716575,99,149,6731.59124960449,5957.05299716575,140.695465355115,633.842787083633,3423.16874631727,23000,19,9824.29377538195,8950.88685179013,8948.09223189187,7000.83314249581,681.210576807492,5021.09003671038,623,10,47,73,404,89,437,134
44037,3138,3007,17.64,198,84,1254,28,15,1347,1254,26,67,998,28380,s,718.83257951138,546.29986149103,664.374069533567,1970,85,1608,97,11,8,16,50,12,74,20
