batch_id,source_fichier,reject_rule,reject_reason,nb_lignes,raw_payload,reject_ts
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44006_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44006"",""libelle_commune"":""Ass\u00e9rac"",""code_circonscription"":""7.0"",""libelle_circonscription"":""7\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""779"",""abstentions"":""181"",""votants"":""598"",""blancs"":""9.0"",""nuls"":""5"",""exprimes"":""584"",""ratio_abstentions_inscrits"":""23.23"",""ratio_votants_inscrits"":""76.77"",""ratio_blancs_inscrits"":""1.16"",""ratio_blancs_votants"":""1.51"",""ratio_nuls_inscrits"":""0.64"",""ratio_nuls_votants"":""0.84"",""ratio_exprimes_inscrits"":""74.97"",""ratio_exprimes_votants"":""97.66""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44006_0002"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44006"",""libelle_commune"":""Ass\u00e9rac"",""code_circonscription"":""7.0"",""libelle_circonscription"":""7\u00e8me circonscription"",""code_bv"":""0002"",""inscrits"":""842"",""abstentions"":""199"",""votants"":""643"",""blancs"":""9.0"",""nuls"":""7"",""exprimes"":""627"",""ratio_abstentions_inscrits"":""23.63"",""ratio_votants_inscrits"":""76.37"",""ratio_blancs_inscrits"":""1.07"",""ratio_blancs_votants"":""1.4"",""ratio_nuls_inscrits"":""0.83"",""ratio_nuls_votants"":""1.09"",""ratio_exprimes_inscrits"":""74.47"",""ratio_exprimes_votants"":""97.51""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44007_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44007"",""libelle_commune"":""Avessac"",""code_circonscription"":""6.0"",""libelle_circonscription"":""6\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""899"",""abstentions"":""200"",""votants"":""699"",""blancs"":""9.0"",""nuls"":""4"",""exprimes"":""686"",""ratio_abstentions_inscrits"":""22.25"",""ratio_votants_inscrits"":""77.75"",""ratio_blancs_inscrits"":""1.0"",""ratio_blancs_votants"":""1.29"",""ratio_nuls_inscrits"":""0.44"",""ratio_nuls_votants"":""0.57"",""ratio_exprimes_inscrits"":""76.31"",""ratio_exprimes_votants"":""98.14""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44007_0002"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44007"",""libelle_commune"":""Avessac"",""code_circonscription"":""6.0"",""libelle_circonscription"":""6\u00e8me circonscription"",""code_bv"":""0002"",""inscrits"":""974"",""abstentions"":""185"",""votants"":""789"",""blancs"":""12.0"",""nuls"":""6"",""exprimes"":""771"",""ratio_abstentions_inscrits"":""18.99"",""ratio_votants_inscrits"":""81.01"",""ratio_blancs_inscrits"":""1.23"",""ratio_blancs_votants"":""1.52"",""ratio_nuls_inscrits"":""0.62"",""ratio_nuls_votants"":""0.76"",""ratio_exprimes_inscrits"":""79.16"",""ratio_exprimes_votants"":""97.72""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0001"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0001"",""inscrits"":""1079"",""abstentions"":""195"",""votants"":""884"",""blancs"":""13.0"",""nuls"":""8"",""exprimes"":""863"",""ratio_abstentions_inscrits"":""18.07"",""ratio_votants_inscrits"":""81.93"",""ratio_blancs_inscrits"":""1.2"",""ratio_blancs_votants"":""1.47"",""ratio_nuls_inscrits"":""0.74"",""ratio_nuls_votants"":""0.9"",""ratio_exprimes_inscrits"":""79.98"",""ratio_exprimes_votants"":""97.62""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0002"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0002"",""inscrits"":""1170"",""abstentions"":""210"",""votants"":""960"",""blancs"":""9.0"",""nuls"":""9"",""exprimes"":""942"",""ratio_abstentions_inscrits"":""17.95"",""ratio_votants_inscrits"":""82.05"",""ratio_blancs_inscrits"":""0.77"",""ratio_blancs_votants"":""0.94"",""ratio_nuls_inscrits"":""0.77"",""ratio_nuls_votants"":""0.94"",""ratio_exprimes_inscrits"":""80.51"",""ratio_exprimes_votants"":""98.12""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0003"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0003"",""inscrits"":""1035"",""abstentions"":""176"",""votants"":""859"",""blancs"":""12.0"",""nuls"":""5"",""exprimes"":""842"",""ratio_abstentions_inscrits"":""17.0"",""ratio_votants_inscrits"":""83.0"",""ratio_blancs_inscrits"":""1.16"",""ratio_blancs_votants"":""1.4"",""ratio_nuls_inscrits"":""0.48"",""ratio_nuls_votants"":""0.58"",""ratio_exprimes_inscrits"":""81.35"",""ratio_exprimes_votants"":""98.02""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0004"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0004"",""inscrits"":""1055"",""abstentions"":""219"",""votants"":""836"",""blancs"":""18.0"",""nuls"":""11"",""exprimes"":""807"",""ratio_abstentions_inscrits"":""20.76"",""ratio_votants_inscrits"":""79.24"",""ratio_blancs_inscrits"":""1.71"",""ratio_blancs_votants"":""2.15"",""ratio_nuls_inscrits"":""1.04"",""ratio_nuls_votants"":""1.32"",""ratio_exprimes_inscrits"":""76.49"",""ratio_exprimes_votants"":""96.53""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0005"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0005"",""inscrits"":""1014"",""abstentions"":""172"",""votants"":""842"",""blancs"":""8.0"",""nuls"":""5"",""exprimes"":""829"",""ratio_abstentions_inscrits"":""16.96"",""ratio_votants_inscrits"":""83.04"",""ratio_blancs_inscrits"":""0.79"",""ratio_blancs_votants"":""0.95"",""ratio_nuls_inscrits"":""0.49"",""ratio_nuls_votants"":""0.59"",""ratio_exprimes_inscrits"":""81.76"",""ratio_exprimes_votants"":""98.46""}",2026-05-23T21:32:24.763164
B02_STAGING_20260523_213217,stg_raw_general.csv,R05,"Doublon sur clé métier ['id_election', 'code_departement', 'code_bv']",16596,"{""id_election"":""2022_pres_t1"",""id_brut_miom"":""44009_0006"",""code_departement"":""44"",""libelle_departement"":""Loire-Atlantique"",""code_canton"":null,""libelle_canton"":null,""code_commune"":""44009"",""libelle_commune"":""Basse-Goulaine"",""code_circonscription"":""10.0"",""libelle_circonscription"":""10\u00e8me circonscription"",""code_bv"":""0006"",""inscrits"":""1305"",""abstentions"":""206"",""votants"":""1099"",""blancs"":""13.0"",""nuls"":""1"",""exprimes"":""1085"",""ratio_abstentions_inscrits"":""15.79"",""ratio_votants_inscrits"":""84.21"",""ratio_blancs_inscrits"":""1.0"",""ratio_blancs_votants"":""1.18"",""ratio_nuls_inscrits"":""0.08"",""ratio_nuls_votants"":""0.09"",""ratio_exprimes_inscrits"":""83.14"",""ratio_exprimes_votants"":""98.73""}",2026-05-23T21:32:24.763164
