indicateur_sk,code_indicateur,libelle,unite,source,description
1,population_totale,Population totale,habitants,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
2,revenu_median,Revenu median,euros,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
3,taux_pauvrete,Taux de pauvrete,%,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
4,taux_chomage,Taux de chomage,%,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
5,nb_entreprises,Nombre d'entreprises,nombre,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
6,taux_faits_securite_pour_mille,Faits de securite pour mille habitants,pour mille,INSEE / MIOM / SSMSI,Indicateur prepare au grain commune-election pour analyse et ML.
