indicateur,correlation_participation,force,sens,delta_2012_2017,delta_2017_2022,region,code_region,load_ts
population_totale,-0.9995,FORTE,NEGATIVE,0.0,141584.0,Pays de la Loire,52,2026-05-23T21:59:22.456846
taux_criminalite,-0.589,MOYENNE,NEGATIVE,1.1801,0.105,Pays de la Loire,52,2026-05-23T21:59:22.456846
taux_chomage,0.3908,FAIBLE,POSITIVE,1.6609,-1.4973,Pays de la Loire,52,2026-05-23T21:59:22.456846
taux_pauvrete,0.0,FAIBLE,NEGATIVE,0.0,0.0,Pays de la Loire,52,2026-05-23T21:59:22.456846
nb_entreprises,0.0,FAIBLE,NEGATIVE,0.0,0.0,Pays de la Loire,52,2026-05-23T21:59:22.456846
