election_sk,id_election,annee,type_election,region,code_region,total_inscrits,total_votants,total_abstentions,total_blancs,total_nuls,total_exprimes,taux_participation_reel,taux_abstention_reel,nb_bureaux,famille_dominante,pct_voix_famille_dominante,pct_autre,pct_centre,pct_divers,pct_droite,pct_ecologie,pct_extreme_droite,pct_gauche,pct_gauche_radicale,date_sk,region_sk
1,2012_legi_t1,2012,legi,Pays de la Loire,52,502354,286736,215618,0.0,3960,282776,57.0785,42.9215,533,DROITE,36.4611,2.3075,1.7279,0.9056,36.4611,7.7169,9.277,36.2852,5.3187,5,1
2,2012_pres_t1,2012,pres,Pays de la Loire,52,501965,402890,99075,0.0,7541,395349,80.2626,19.7374,533,DROITE,28.6304,4.3251,11.6523,0.0,28.6304,2.462,14.3949,28.3971,10.1382,1,1
3,2017_legi_t1,2017,legi,Pays de la Loire,52,503494,264534,238960,3859.0,1038,259637,52.5397,47.4603,533,CENTRE,41.6747,0.0,41.6747,2.0244,17.389,4.4937,10.6245,10.1311,13.6627,6,1
4,2017_pres_t1,2017,pres,Pays de la Loire,52,503061,402604,100457,6983.0,1916,393705,80.0309,19.9691,533,,34.386475,1.65815,21.45865,1.9903,23.418349999999997,4.199775,13.285225,19.276675,14.7129,2,1
5,2022_legi_t1,2022,legi,Pays de la Loire,52,523344,261881,261463,4503.0,1229,256149,50.0399,49.9601,548,CENTRE,30.7797,0.0,30.7797,5.0312,11.1929,2.1265,18.8445,2.2933,29.732,7,1
6,2022_pres_t1,2022,pres,Pays de la Loire,52,520875,385425,135450,6260.0,1697,377468,73.9957,26.0043,548,,34.386475,1.65815,21.45865,1.9903,23.418349999999997,4.199775,13.285225,19.276675,14.7129,3,1
