id_election,annee,type_election,total_inscrits,total_votants,total_abstentions,total_blancs,total_nuls,total_exprimes,nb_bureaux,taux_participation_moyen,taux_abstention_moyen,taux_participation_reel,taux_abstention_reel,region,code_region,famille_dominante,pct_voix_famille_dominante,pct_autre,pct_centre,pct_divers,pct_droite,pct_ecologie,pct_extreme_droite,pct_gauche,pct_gauche_radicale,taux_chomage,population_totale,taux_pauvrete,nb_entreprises,taux_criminalite,delta_taux_chomage_prec,delta_taux_chomage_12_17,delta_taux_chomage_17_22,evolution_pct_taux_chomage_prec,delta_population_totale_prec,delta_population_totale_12_17,delta_population_totale_17_22,evolution_pct_population_totale_prec,delta_taux_pauvrete_prec,delta_taux_pauvrete_12_17,delta_taux_pauvrete_17_22,evolution_pct_taux_pauvrete_prec,delta_nb_entreprises_prec,delta_nb_entreprises_12_17,delta_nb_entreprises_17_22,evolution_pct_nb_entreprises_prec,delta_taux_criminalite_prec,delta_taux_criminalite_12_17,delta_taux_criminalite_17_22,evolution_pct_taux_criminalite_prec,delta_taux_participation_pres_prec,delta_taux_participation_pres_12_17,delta_taux_participation_pres_17_22,evolution_pct_taux_participation_pres_prec,load_ts
2012_legi_t1,2012,legi,502354,286736,215618,0.0,3960,282776,533,57.09860938086304,42.90139061913696,57.0785,42.9215,Pays de la Loire,52,DROITE,36.4611,2.3075,1.7279,0.9056,36.4611,7.7169,9.277,36.2852,5.3187,6.0844,3737632,11.4745,127018,0.0,0.0,1.6609,-1.4973,0.0,0.0,0.0,141584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1801,0.105,0.0,0.0,-0.2317,-6.0352,0.0,2026-05-23T21:59:22.490834
2012_pres_t1,2012,pres,501965,402890,99075,0.0,7541,395349,533,80.17703452157599,19.822965478424017,80.2626,19.7374,Pays de la Loire,52,DROITE,28.6304,4.3251,11.6523,0.0,28.6304,2.462,14.3949,28.3971,10.1382,6.0844,3737632,11.4745,127018,0.0,0.0,1.6609,-1.4973,0.0,0.0,0.0,141584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1801,0.105,0.0,0.0,-0.2317,-6.0352,0.0,2026-05-23T21:59:22.490834
2017_legi_t1,2017,legi,503494,264534,238960,3859.0,1038,259637,533,52.50108555347092,47.49891444652908,52.5397,47.4603,Pays de la Loire,52,CENTRE,41.6747,0.0,41.6747,2.0244,17.389,4.4937,10.6245,10.1311,13.6627,7.7453,3737632,11.4745,127018,1.1801,1.6609,1.6609,-1.4973,27.3,0.0,0.0,141584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1801,1.1801,0.105,0.0,-0.2317,-0.2317,-6.0352,-0.29,2026-05-23T21:59:22.490834
2017_pres_t1,2017,pres,503061,402604,100457,6983.0,1916,393705,533,80.01181013133208,19.98818986866792,80.0309,19.9691,Pays de la Loire,52,,34.386475,1.65815,21.45865,1.9903,23.41835,4.199775,13.285225,19.276675,14.7129,7.7453,3737632,11.4745,127018,1.1801,1.6609,1.6609,-1.4973,27.3,0.0,0.0,141584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1801,1.1801,0.105,0.0,-0.2317,-0.2317,-6.0352,-0.29,2026-05-23T21:59:22.490834
2022_legi_t1,2022,legi,523344,261881,261463,4503.0,1229,256149,548,49.78741076642336,50.21258923357664,50.0399,49.9601,Pays de la Loire,52,CENTRE,30.7797,0.0,30.7797,5.0312,11.1929,2.1265,18.8445,2.2933,29.732,6.248,3879216,11.4745,127018,1.2851,-1.4973,1.6609,-1.4973,-19.33,141584.0,0.0,141584.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,1.1801,0.105,8.9,-6.0352,-0.2317,-6.0352,-7.54,2026-05-23T21:59:22.490834
2022_pres_t1,2022,pres,520875,385425,135450,6260.0,1697,377468,548,73.34555675182482,26.65444324817518,73.9957,26.0043,Pays de la Loire,52,,34.386475,1.65815,21.45865,1.9903,23.41835,4.199775,13.285225,19.276675,14.7129,6.248,3879216,11.4745,127018,1.2851,-1.4973,1.6609,-1.4973,-19.33,141584.0,0.0,141584.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,1.1801,0.105,8.9,-6.0352,-0.2317,-6.0352,-7.54,2026-05-23T21:59:22.490834
