id_election,annee,type_election,total_inscrits,total_votants,total_abstentions,total_blancs,total_nuls,total_exprimes,nb_bureaux,taux_participation_moyen,taux_abstention_moyen,taux_participation_reel,taux_abstention_reel,region,code_region,famille_dominante,pct_voix_famille_dominante,pct_autre,pct_centre,pct_divers,pct_droite,pct_ecologie,pct_extreme_droite,pct_gauche,pct_gauche_radicale
2012_legi_t1,2012,legi,502354,286736,215618,0.0,3960,282776,533,57.09860938086304,42.90139061913696,57.0785,42.9215,Pays de la Loire,52,DROITE,36.4611,2.3075,1.7279,0.9056,36.4611,7.7169,9.277,36.2852,5.3187
2012_pres_t1,2012,pres,501965,402890,99075,0.0,7541,395349,533,80.17703452157599,19.822965478424017,80.2626,19.7374,Pays de la Loire,52,DROITE,28.6304,4.3251,11.6523,0.0,28.6304,2.462,14.3949,28.3971,10.1382
2017_legi_t1,2017,legi,503494,264534,238960,3859.0,1038,259637,533,52.50108555347092,47.49891444652908,52.5397,47.4603,Pays de la Loire,52,CENTRE,41.6747,0.0,41.6747,2.0244,17.389,4.4937,10.6245,10.1311,13.6627
2017_pres_t1,2017,pres,503061,402604,100457,6983.0,1916,393705,533,80.01181013133208,19.988189868667916,80.0309,19.9691,Pays de la Loire,52,,,,,,,,,,
2022_legi_t1,2022,legi,523344,261881,261463,4503.0,1229,256149,548,49.78741076642336,50.21258923357664,50.0399,49.9601,Pays de la Loire,52,CENTRE,30.7797,0.0,30.7797,5.0312,11.1929,2.1265,18.8445,2.2933,29.732
2022_pres_t1,2022,pres,520875,385425,135450,6260.0,1697,377468,548,73.34555675182482,26.65444324817518,73.9957,26.0043,Pays de la Loire,52,,,,,,,,,,
