id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,44101,6523,27090,10,5.762749,157,2.935246
2012_legi_t1,2012,44102,3346,26650,,2.700299,98,4.691308
2012_legi_t1,2012,44103,7289,25290,11,9.964492,325,14.821823
2012_legi_t1,2012,44104,843,25360,,3.001876,13,0
2012_legi_t1,2012,44105,356,22530,,9.205021,11,0
2012_legi_t1,2012,44106,1846,27460,,6.405229,50,4.00479
2012_legi_t1,2012,44107,2004,26250,,6.086957,40,0
2012_legi_t1,2012,44108,2903,27450,,3.710589,84,0
2012_legi_t1,2012,44109,325070,26720,19.1,10.019699,11718,4.415539
2012_legi_t1,2012,44110,9448,26520,8,5.81633,288,2.782018
2012_legi_t1,2012,44111,2335,26520,,4.753008,33,0
2012_legi_t1,2012,44112,579,24010,,5.405405,9,0
2012_legi_t1,2012,44113,4280,25220,,6.478261,167,4.505046
2012_legi_t1,2012,44114,28341,30410,11.3,6.249184,963,9.288042
2012_legi_t1,2012,44115,3915,28380,,4.822521,75,1.853878
2012_legi_t1,2012,44116,3030,23620,,9.483358,52,0
2012_legi_t1,2012,44117,3374,27870,,6.089875,102,0
2012_legi_t1,2012,44118,1454,24420,,8.854167,27,0
2012_legi_t1,2012,44119,2042,25020,,6.543624,47,0
2012_legi_t1,2012,44120,5335,26610,,7.5418,110,2.029273
2012_legi_t1,2012,44121,437,23210,,6.227106,13,0
2012_legi_t1,2012,44122,3865,27740,,3.877996,71,0
2012_legi_t1,2012,44123,1011,24300,,6.468531,26,0
2012_legi_t1,2012,44124,829,24490,,8.112648,22,0
2012_legi_t1,2012,44125,2663,29320,,7.629434,110,1.661554
2012_legi_t1,2012,44126,4617,27060,,5.304123,127,0.868403
2012_legi_t1,2012,44127,2802,25440,,3.681498,77,0
2012_legi_t1,2012,44128,5281,24720,12,7.133924,146,1.864796
2012_legi_t1,2012,44129,11249,26570,8,7.357479,358,4.017135
2012_legi_t1,2012,44130,6942,29240,,3.737342,202,6.977065
