id_election,annee,type_election,code_commune,libelle_commune,code_departement,region,code_region,total_inscrits,total_votants,total_abstentions,total_blancs,total_nuls,total_exprimes,nb_bureaux,taux_participation_reel,taux_abstention_reel,famille_dominante,pct_voix_famille_dominante,pct_autre,pct_centre,pct_divers,pct_droite,pct_ecologie,pct_extreme_droite,pct_gauche,pct_gauche_radicale
2022_pres_t1,2022,pres,44035,La Chapelle-Sur-Erdre,44,Pays de la Loire,52,15917,12726,3191,184,44,12498,16,79.952252,20.047748,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44036,Châteaubriant,44,Pays de la Loire,52,8770,6185,2585,106,59,6020,6,70.524515,29.475485,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44037,Château-Thébaud,44,Pays de la Loire,52,2330,1939,391,37,14,1888,2,83.218884,16.781116,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44038,Chauvé,44,Pays de la Loire,52,2152,1706,446,24,17,1665,2,79.275093,20.724907,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44039,Cheix-En-Retz,44,Pays de la Loire,52,876,720,156,14,2,704,1,82.191781,17.808219,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44041,La Chevrolière,44,Pays de la Loire,52,4788,3830,958,81,34,3715,5,79.991646,20.008354,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44043,Clisson,44,Pays de la Loire,52,5819,4725,1094,79,18,4628,6,81.199519,18.800481,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44044,Conquereuil,44,Pays de la Loire,52,833,649,184,7,2,640,1,77.911164,22.088836,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44045,Cordemais,44,Pays de la Loire,52,2847,2240,607,33,17,2190,3,78.679312,21.320688,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44046,Corsept,44,Pays de la Loire,52,2167,1682,485,37,12,1633,2,77.618828,22.381172,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44047,Couëron,44,Pays de la Loire,52,16977,12853,4124,337,0,12516,17,75.708311,24.291689,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44048,Couffé,44,Pays de la Loire,52,1924,1534,390,24,11,1499,2,79.72973,20.27027,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44049,Le Croisic,44,Pays de la Loire,52,3944,3024,920,38,14,2972,4,76.673428,23.326572,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44050,Crossac,44,Pays de la Loire,52,2262,1762,500,27,30,1705,2,77.895668,22.104332,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44051,Derval,44,Pays de la Loire,52,2388,1762,626,30,19,1713,3,73.785595,26.214405,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44052,Donges,44,Pays de la Loire,52,5359,4037,1322,67,22,3948,5,75.331219,24.668781,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44053,Drefféac,44,Pays de la Loire,52,1664,1324,340,24,14,1286,2,79.567308,20.432692,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44054,Erbray,44,Pays de la Loire,52,2296,1741,555,41,18,1682,2,75.827526,24.172474,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44055,La Baule-Escoublac,44,Pays de la Loire,52,16514,13028,3486,161,56,12811,17,78.890638,21.109362,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44056,Fay-De-Bretagne,44,Pays de la Loire,52,2644,2139,505,45,25,2069,3,80.900151,19.099849,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44057,Fégréac,44,Pays de la Loire,52,1708,1401,307,29,15,1357,2,82.025761,17.974239,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44058,Fercé,44,Pays de la Loire,52,350,272,78,6,1,265,1,77.714286,22.285714,autre,100,100,0,0,0,0,0,0,0
2022_pres_t1,2022,pres,44061,Frossay,44,Pays de la Loire,52,2432,1842,590,47,11,1784,2,75.740132,24.259868,autre,100,100,0,0,0,0,0,0,0
