annee,region,code_region,taux_chomage,population_totale,taux_pauvrete,nb_entreprises,taux_criminalite
2012,Pays de la Loire,52,6.0844,3737632,11.4745,127018,0.0
2017,Pays de la Loire,52,7.7453,3737632,11.4745,127018,1.1801
2022,Pays de la Loire,52,6.248,3879216,11.4745,127018,1.2851
